param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__sublinear_tf,param_classifier__C,mean_train_score,mean_test_score,std_test_score,rank_test_score
"(1, 1)",1,True,4.0,0.981480692152655,0.8666612235076455,0.0031263639698118732,1
"(1, 1)",1,False,4.0,0.981185926219434,0.86598693594035,0.004405274778854909,2
"(1, 1)",2,True,4.0,0.9770457179660593,0.8640875032646215,0.0013312351841304562,3
"(1, 1)",2,False,4.0,0.9768618378898021,0.8619566797574442,0.004020165635253086,4
"(1, 1)",3,True,4.0,0.9748928053774019,0.8617471216684486,0.00307600185137015,5
"(1, 1)",3,False,4.0,0.9744594761418369,0.8596355754660913,0.004144676276776425,6
"(1, 1)",1,True,2.0,0.9599417051302376,0.8589190851498026,0.006543181955463414,7
"(1, 1)",1,False,2.0,0.9594455878108444,0.8581389343243798,0.005847968144943842,8
"(1, 2)",1,True,4.0,0.9955765276955727,0.8573587926561842,0.01032292181851995,9
"(1, 1)",2,True,2.0,0.9552370514106142,0.8573539258261632,0.006248390456656371,10
"(1, 1)",2,False,2.0,0.9550056773843698,0.8566053705876951,0.00586865321918059,11
"(1, 2)",1,False,4.0,0.9955787033683823,0.856398802734574,0.010563406345571538,12
"(1, 2)",2,True,4.0,0.9912996619364005,0.8545528548566276,0.00898321919763351,13
"(1, 1)",3,True,2.0,0.95191118435832,0.8541835108738356,0.005215159989264346,14
"(1, 2)",2,False,4.0,0.9914697877544016,0.8533880227767304,0.008175398215454521,15
"(1, 1)",3,False,2.0,0.9506987664487152,0.853052951998659,0.004653184421303941,16
"(1, 2)",3,True,4.0,0.9892279299207171,0.8512940012288791,0.009389904740351403,17
"(1, 2)",3,False,4.0,0.9894136567425639,0.8502462965303655,0.009500723182441259,18
"(1, 2)",1,True,2.0,0.9824188250740177,0.8463216900081219,0.011834237983740031,19
"(1, 2)",1,False,2.0,0.9821665049474508,0.8460648484920087,0.011627991562198441,20
"(1, 2)",2,True,2.0,0.9741969719321366,0.8439605658165013,0.010907352980659061,21
"(1, 2)",2,False,2.0,0.9737292605613298,0.8436477473720062,0.010719020791760134,22
"(1, 2)",3,True,2.0,0.9702396639236284,0.8423750469973887,0.010016118101022313,23
"(1, 2)",3,False,2.0,0.969959614344492,0.8418018764549874,0.010545288708654614,24
"(1, 1)",1,True,1.0,0.9252815547375185,0.8329175658710789,0.006865088624927078,25
"(1, 1)",2,True,1.0,0.9219202129375071,0.8328134055602833,0.007842733521239086,26
"(1, 1)",2,False,1.0,0.9205989887543918,0.8318618655265421,0.007543367683008897,27
"(1, 1)",1,False,1.0,0.9242655911470111,0.8311016511962088,0.008563775989937092,28
"(1, 1)",3,True,1.0,0.918967613728633,0.8304262441321321,0.008382299731209594,29
"(1, 1)",3,False,1.0,0.9179126590941186,0.8288352115472414,0.008588562069833387,30
"(1, 2)",2,True,1.0,0.9389164797923479,0.8166404890877055,0.010404546829998688,31
"(1, 2)",2,False,1.0,0.9372506513563296,0.816580791488263,0.009305171671650582,32
"(1, 2)",3,True,1.0,0.9340619977749931,0.8153538200156047,0.012199087661776855,33
"(1, 2)",3,False,1.0,0.9333812512447096,0.8151425796459616,0.010824580352358264,34
"(1, 2)",1,True,1.0,0.9481614154043144,0.813471469921727,0.01115798787050511,35
"(1, 2)",1,False,1.0,0.9472647804201717,0.8115216553401439,0.01066009355675736,36
"(1, 1)",2,True,0.5,0.8687329094719161,0.7950989203723221,0.009491967461552432,37
"(1, 1)",3,True,0.5,0.8675582984120109,0.7943609160317583,0.009329105798176845,38
"(1, 1)",2,False,0.5,0.8683542136872492,0.7934900164275923,0.009200807745252637,39
"(1, 1)",3,False,0.5,0.8666017110619234,0.7929675073458209,0.00975295933782449,40
"(1, 1)",1,True,0.5,0.8724233142090472,0.7908922627760823,0.007952768429120982,41
"(1, 1)",1,False,0.5,0.8702228247777469,0.790426960666553,0.008084286127208658,42
"(1, 2)",3,True,0.5,0.8757657985398307,0.7686749388203987,0.009879293349187294,43
"(1, 2)",3,False,0.5,0.8743859311562678,0.7666760113500154,0.009950373817188203,44
"(1, 2)",2,True,0.5,0.876251246889795,0.7642361414953657,0.009852034731783602,45
"(1, 2)",2,False,0.5,0.8757792160098544,0.7627855106676596,0.011402217689004767,46
"(1, 2)",1,True,0.5,0.8791441324430483,0.7545241626322688,0.008739464569032409,47
"(1, 2)",1,False,0.5,0.878297870682407,0.7534189364420962,0.008811350922428303,48
