feature,mean_abs_shap
numerical__queue_load,0.31749666
numerical__agent_utilization,0.2251956
numerical__created_day,0.1932702
categorical__ticket_priority_Critical,0.13115713
numerical__sentiment_score,0.12508698
numerical__previous_contacts,0.12056456
numerical__account_age_days,0.09860443
categorical__ticket_priority_Low,0.08761605
numerical__outside_business_hours,0.087116905
categorical__ticket_priority_High,0.08142427
numerical__message_length,0.07592346
numerical__created_hour,0.05482243
categorical__intent_bank_transfer,0.03752188
numerical__recent_tickets_30d,0.028982589
categorical__intent_identity_verification,0.02882988
categorical__intent_account_security,0.023997502
categorical__intent_general_support,0.021894822
categorical__ticket_priority_Medium,0.017754758
categorical__intent_refund,0.01682707
categorical__intent_card_payment,0.016422503
categorical__intent_card_and_pin,0.013603069
categorical__customer_tier_Standard,0.0119358925
categorical__ticket_channel_Chat,0.010515958
numerical__is_weekend,0.010240325
categorical__ticket_channel_Email,0.008232748
categorical__ticket_channel_Web,0.007598533
categorical__ticket_channel_Phone,0.006609187
categorical__customer_tier_Premium,0.004392903
categorical__customer_tier_Business,0.00434293
categorical__intent_cash_withdrawal,0.0041704127
